batch,run_id,run_at,protocol,code,build_id,slice,hypothesis,n_raw,n_declustered,hit_rate,base_rate,edge,expectancy,p,survived,gross,net_expectancy
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_resistance+rs_20_strong,58,57,0.49122807017543857,0.48170459132080223,0.009523478854636336,-0.0007339685073011504,0.8615692153923038,False,-0.0007339685073011504,-0.004725046017007406
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_support+rs_20_strong,47,42,0.5476190476190477,0.48170459132080223,0.06591445629824544,-0.002178904270204179,0.4427786106946527,False,-0.002178904270204179,-0.0061642106934884575
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+breadth_positive+rs_20_strong,69,65,0.5384615384615384,0.4794613253031347,0.05900021315840376,0.004790573428890985,0.4127936031984008,False,0.004790573428890985,0.000777430849045173
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+ma_50_rising+rs_20_strong,130,113,0.5486725663716814,0.4822795075532089,0.06639305881847246,-0.0004786866430574107,0.2178910544727636,False,-0.0004786866430574107,-0.004470783750823535
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+market_up+rs_20_strong,99,91,0.5494505494505495,0.4796217841470378,0.06982876530351168,0.001951693600299197,0.19290354822588707,False,0.001951693600299197,-0.0020501104679995635
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_20_strong+rvol_high,24,23,0.6086956521739131,0.4803384073761021,0.12835724479781097,0.010102160434723359,1.0,False,0.010102160434723359,0.006067803328643568
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_20_strong+volume_dry,23,20,0.45,0.48050536029523516,-0.03050536029523515,-0.006449478414287007,1.0,False,-0.006449478414287007,-0.010417728126062209
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_60_strong,255,221,0.5339366515837104,0.48208034960950175,0.05185630197420865,0.0018047380316434608,0.21389305347326337,False,0.0018047380316434608,-0.002196479094793465
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+above_ma_50+rs_60_strong,131,118,0.5423728813559322,0.48208034960950175,0.060292531746430456,0.003942965971591843,0.2748625687156422,False,0.003942965971591843,-6.679125645246486e-05
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_resistance+rs_60_strong,69,66,0.5303030303030303,0.4817129539210708,0.0485900763819595,-0.00419913355182936,0.46776611694152925,False,-0.00419913355182936,-0.00817637116120798
