complements_1:validate-2026-09-24T14:46:54+00:00 | BATCH complements_1 (hash e29e367cba78c47f) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3864 (hypotheses ever tested: 5418)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
  [N=3864] k3:three_black_crows+not_ma_50_rising: 456 de-cl. (n 547) hit 53.9% vs base 50.8% edge +3.2% gross +0.48% (net +0.08% info) p 0.4508 | discover +8.4% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:marubozu_red+not_at_support+rvol_high: 1613 de-cl. (n 1707) hit 53.9% vs base 50.8% edge +3.2% gross +0.67% (net +0.27% info) p 0.1749 | discover +6.3% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:higher_lows+not_at_resistance: 1179 de-cl. (n 1420) hit 53.9% vs base 50.8% edge +3.1% gross +0.44% (net +0.04% info) p 0.1809 | discover +5.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+ma_50_rising+not_at_resistance: 2348 de-cl. (n 5003) hit 53.8% vs base 50.8% edge +3.1% gross +0.80% (net +0.40% info) p 0.0660 | discover +4.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:inside_day_run+above_ma_50+not_volume_dry: 2058 de-cl. (n 2345) hit 54.4% vs base 51.4% edge +3.0% gross +1.45% (net +1.04% info) p 0.0480 | discover +3.4% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+at_support+not_rvol_high: 3704 de-cl. (n 8198) hit 53.8% vs base 50.8% edge +3.0% gross +0.57% (net +0.17% info) p 0.0620 | discover +3.2% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:marubozu_red+not_market_up+not_rvol_high: 4862 de-cl. (n 5802) hit 53.5% vs base 50.6% edge +3.0% gross +0.09% (net -0.31% info) p 0.2949 | discover +3.4% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:inside_day_run+above_ma_50+not_breadth_positive: 578 de-cl. (n 665) hit 55.2% vs base 52.2% edge +2.9% gross +1.10% (net +0.69% info) p 0.3918 | discover +5.9% -> HELD | walk-forward 8/12 years positive
  [N=3864] k5:higher_lows+breadth_positive+not_rvol_high: 1273 de-cl. (n 1586) hit 55.0% vs base 52.1% edge +2.9% gross +1.08% (net +0.68% info) p 0.1889 | discover +6.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:higher_lows+market_up+not_rvol_high: 1543 de-cl. (n 1956) hit 54.1% vs base 51.3% edge +2.9% gross +0.88% (net +0.48% info) p 0.1979 | discover +6.7% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:higher_lows+ma_50_rising+not_rvol_high: 1192 de-cl. (n 1513) hit 54.3% vs base 51.5% edge +2.8% gross +0.78% (net +0.38% info) p 0.2099 | discover +6.2% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:marubozu_red+not_at_support+rvol_high: 1581 de-cl. (n 1705) hit 54.3% vs base 51.5% edge +2.8% gross +0.90% (net +0.49% info) p 0.2989 | discover +6.5% -> HELD | walk-forward 12/12 years positive
  [N=3864] k5:inside_day_run+not_market_up+rvol_high: 74 de-cl. (n 82) hit 54.1% vs base 51.3% edge +2.8% gross +0.38% (net -0.02% info) p 0.6277 | discover +10.7% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+not_rvol_high+volume_dry: 3224 de-cl. (n 6728) hit 53.4% vs base 50.6% edge +2.8% gross +0.42% (net +0.02% info) p 0.2309 | discover +3.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:inverted_hammer_shape+ma_50_rising+not_at_resistance: 2724 de-cl. (n 3261) hit 54.2% vs base 51.5% edge +2.7% gross +1.04% (net +0.64% info) p 0.1119 | discover +3.3% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:tight_range+at_resistance+not_rvol_high: 2828 de-cl. (n 6661) hit 54.2% vs base 51.5% edge +2.7% gross +0.80% (net +0.40% info) p 0.1349 | discover +4.6% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inside_day_run+ma_50_rising+not_at_resistance: 1456 de-cl. (n 1608) hit 53.4% vs base 50.8% edge +2.7% gross +0.88% (net +0.48% info) p 0.1729 | discover +3.7% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:higher_lows+not_rvol_high: 2191 de-cl. (n 2797) hit 53.9% vs base 51.3% edge +2.6% gross +0.64% (net +0.24% info) p 0.1109 | discover +4.7% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inverted_hammer_shape+ma_50_rising+not_at_resistance: 2908 de-cl. (n 3281) hit 53.3% vs base 50.8% edge +2.6% gross +0.71% (net +0.30% info) p 0.0720 | discover +3.5% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:higher_lows+not_volume_dry: 1809 de-cl. (n 2305) hit 53.8% vs base 51.3% edge +2.5% gross +0.73% (net +0.33% info) p 0.1399 | discover +5.3% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:higher_lows+ma_50_rising+not_volume_dry: 991 de-cl. (n 1258) hit 54.0% vs base 51.5% edge +2.5% gross +0.87% (net +0.47% info) p 0.2979 | discover +7.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:higher_lows+not_volume_dry: 1885 de-cl. (n 2329) hit 53.1% vs base 50.6% edge +2.5% gross +0.59% (net +0.19% info) p 0.1559 | discover +4.4% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:inverted_hammer_shape+ma_50_rising+not_volume_dry: 3678 de-cl. (n 4200) hit 53.2% vs base 50.8% edge +2.5% gross +0.69% (net +0.28% info) p 0.0900 | discover +3.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:tight_range+above_ma_50+not_volume_dry: 2414 de-cl. (n 5520) hit 53.9% vs base 51.4% edge +2.5% gross +1.08% (net +0.68% info) p 0.1759 | discover +4.3% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:marubozu_red+not_at_resistance+rvol_high: 1593 de-cl. (n 1687) hit 53.2% vs base 50.8% edge +2.5% gross +0.57% (net +0.17% info) p 0.2979 | discover +6.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+not_rvol_high: 8420 de-cl. (n 20766) hit 53.0% vs base 50.6% edge +2.4% gross +0.41% (net +0.01% info) p 0.1339 | discover +3.5% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+above_ma_50+not_at_support: 2297 de-cl. (n 4834) hit 53.2% vs base 50.8% edge +2.4% gross +0.82% (net +0.42% info) p 0.1769 | discover +5.8% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+breadth_positive+not_at_support: 3223 de-cl. (n 6933) hit 53.7% vs base 51.3% edge +2.4% gross +0.67% (net +0.26% info) p 0.3278 | discover +5.0% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inverted_hammer_shape+ma_50_rising+not_at_support: 3259 de-cl. (n 3717) hit 53.1% vs base 50.8% edge +2.3% gross +0.74% (net +0.34% info) p 0.1089 | discover +3.6% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:bearish_harami+at_resistance+not_at_support: 1371 de-cl. (n 1432) hit 53.1% vs base 50.8% edge +2.3% gross +0.48% (net +0.07% info) p 0.1669 | discover +4.0% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:inverted_hammer_shape+ma_50_rising+not_breadth_positive: 1460 de-cl. (n 1779) hit 54.7% vs base 52.3% edge +2.3% gross +0.89% (net +0.49% info) p 0.6057 | discover +6.0% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:tight_range+ma_50_rising+not_volume_dry: 2552 de-cl. (n 6359) hit 53.8% vs base 51.5% edge +2.3% gross +1.16% (net +0.75% info) p 0.2309 | discover +3.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:higher_lows+market_up+not_at_support: 941 de-cl. (n 1156) hit 53.8% vs base 51.5% edge +2.3% gross +0.94% (net +0.54% info) p 0.3208 | discover +8.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:marubozu_red+not_volume_dry+rvol_high: 2221 de-cl. (n 2355) hit 52.9% vs base 50.6% edge +2.3% gross +0.43% (net +0.03% info) p 0.2959 | discover +5.8% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:marubozu_red+not_at_support: 8240 de-cl. (n 9759) hit 53.1% vs base 50.8% edge +2.3% gross +0.39% (net -0.01% info) p 0.0790 | discover +3.6% -> HELD | walk-forward 12/12 years positive
  [N=3864] k3:tight_range+not_market_up+not_rvol_high: 3369 de-cl. (n 7387) hit 52.9% vs base 50.6% edge +2.2% gross -0.14% (net -0.54% info) p 0.5207 | discover +4.8% -> failed | walk-forward 11/12 years positive
  [N=3864] k5:tight_range+at_resistance+not_volume_dry: 2482 de-cl. (n 5489) hit 53.7% vs base 51.5% edge +2.2% gross +0.83% (net +0.43% info) p 0.2229 | discover +4.6% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:higher_lows+above_ma_50+not_at_support: 905 de-cl. (n 1124) hit 53.7% vs base 51.5% edge +2.2% gross +0.97% (net +0.56% info) p 0.3158 | discover +5.5% -> HELD | walk-forward 10/12 years positive
