structural_1:validate-2026-09-25T04:52:03+00:00 | BATCH structural_1 (hash 1ff6d6de2472c886) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3024 (hypotheses ever tested: 4578)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
run here: 295 | testable (>= 30 de-clustered): 295 | suspicious: 0
discover survivors run: 295 | HELD (same sign, gross exp > 0): 260 | PAPER-TRADING CANDIDATES (held, edge > 0): 236
  [N=3024] k5:marubozu_red+rs_60_strong+rvol_high: 956 de-cl. (n 1003) hit 55.5% vs base 51.5% edge +4.1% gross +1.36% (net +0.96% info) p 0.2179 | discover +6.5% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:tight_range+ma_50_rising+rs_60_strong: 2489 de-cl. (n 6971) hit 55.5% vs base 51.5% edge +4.0% gross +1.33% (net +0.93% info) p 0.0290 | discover +5.8% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+at_resistance+resists_down_days: 2013 de-cl. (n 4248) hit 54.7% vs base 50.8% edge +4.0% gross +0.64% (net +0.23% info) p 0.0100 | discover +5.3% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:higher_lows+ma_50_rising+rs_20_strong: 717 de-cl. (n 861) hit 54.7% vs base 50.8% edge +3.9% gross +0.87% (net +0.47% info) p 0.1309 | discover +9.3% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:inside_day_run+ma_50_rising+resists_down_days: 1650 de-cl. (n 1873) hit 54.7% vs base 50.8% edge +3.9% gross +1.09% (net +0.68% info) p 0.0190 | discover +3.6% -> HELD | walk-forward 9/12 years positive
  [N=3024] k3:marubozu_red+breadth_positive+stage_3_topping: 763 de-cl. (n 826) hit 55.2% vs base 51.3% edge +3.9% gross +0.77% (net +0.37% info) p 0.1869 | discover +6.1% -> HELD | walk-forward 8/12 years positive
  [N=3024] k3:tight_range+breadth_positive+rs_120_strong: 2420 de-cl. (n 5686) hit 55.2% vs base 51.4% edge +3.8% gross +0.71% (net +0.31% info) p 0.1159 | discover +6.3% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:marubozu_red+rs_20_strong: 5003 de-cl. (n 5654) hit 54.4% vs base 50.6% edge +3.8% gross +0.78% (net +0.38% info) p 0.0020 | discover +3.2% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+breadth_positive+rs_60_strong: 2518 de-cl. (n 5762) hit 55.1% vs base 51.3% edge +3.8% gross +0.82% (net +0.42% info) p 0.0410 | discover +6.4% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:dark_cloud_cover+rs_60_strong+volume_dry: 152 de-cl. (n 155) hit 55.3% vs base 51.5% edge +3.8% gross -0.02% (net -0.42% info) p 0.3718 | discover +14.0% -> failed | walk-forward 12/12 years positive
  [N=3024] k3:marubozu_red+rs_120_strong: 5090 de-cl. (n 6003) hit 54.6% vs base 50.8% edge +3.8% gross +0.66% (net +0.26% info) p 0.0060 | discover +4.8% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:inverted_hammer_shape+at_support+rs_60_strong: 854 de-cl. (n 936) hit 54.6% vs base 50.8% edge +3.8% gross +0.44% (net +0.04% info) p 0.0620 | discover +4.4% -> HELD | walk-forward 12/12 years positive
  [N=3024] k5:inside_day_run+above_ma_50+rs_60_strong: 1633 de-cl. (n 1909) hit 55.2% vs base 51.5% edge +3.8% gross +1.57% (net +1.17% info) p 0.0310 | discover +3.7% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+breadth_positive+resists_down_days: 2824 de-cl. (n 6191) hit 54.9% vs base 51.1% edge +3.8% gross +0.89% (net +0.49% info) p 0.0240 | discover +5.0% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:inside_day_run+above_ma_50+rs_60_strong: 1715 de-cl. (n 1928) hit 54.5% vs base 50.8% edge +3.7% gross +1.13% (net +0.72% info) p 0.0150 | discover +4.9% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:doji+at_resistance+stage_2_advancing: 1486 de-cl. (n 1850) hit 54.3% vs base 50.6% edge +3.7% gross +0.60% (net +0.20% info) p 0.0420 | discover +4.3% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+rs_120_strong: 3553 de-cl. (n 8761) hit 54.5% vs base 50.8% edge +3.7% gross +0.58% (net +0.18% info) p 0.0340 | discover +5.1% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:tight_range+at_resistance+rs_120_strong: 1639 de-cl. (n 3351) hit 54.5% vs base 50.8% edge +3.7% gross +0.50% (net +0.10% info) p 0.0350 | discover +5.9% -> HELD | walk-forward 12/12 years positive
  [N=3024] k5:higher_lows+market_up+rs_120_strong: 715 de-cl. (n 900) hit 55.1% vs base 51.4% edge +3.7% gross +1.02% (net +0.62% info) p 0.1309 | discover +7.6% -> HELD | walk-forward 9/12 years positive
  [N=3024] k3:higher_lows+resists_down_days: 1546 de-cl. (n 1941) hit 54.2% vs base 50.6% edge +3.6% gross +0.67% (net +0.27% info) p 0.0380 | discover +4.5% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:higher_lows+above_ma_50+rs_20_strong: 834 de-cl. (n 1043) hit 55.0% vs base 51.4% edge +3.6% gross +1.08% (net +0.68% info) p 0.0980 | discover +7.4% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:higher_lows+breadth_positive+rs_60_strong: 699 de-cl. (n 857) hit 54.9% vs base 51.3% edge +3.6% gross +1.00% (net +0.60% info) p 0.1569 | discover +8.9% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:tight_range+rs_60_strong: 3210 de-cl. (n 9067) hit 55.1% vs base 51.5% edge +3.6% gross +1.07% (net +0.67% info) p 0.0390 | discover +5.3% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+at_resistance+rs_60_strong: 1837 de-cl. (n 3740) hit 54.4% vs base 50.8% edge +3.6% gross +0.70% (net +0.30% info) p 0.0840 | discover +5.3% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:inverted_hammer_shape+ma_50_rising+stage_2_advancing: 1144 de-cl. (n 1368) hit 54.6% vs base 51.1% edge +3.6% gross +1.04% (net +0.64% info) p 0.1469 | discover +5.6% -> HELD | walk-forward 9/12 years positive
  [N=3024] k5:inside_day_run+above_ma_50+resists_down_days: 1652 de-cl. (n 1928) hit 55.0% vs base 51.4% edge +3.6% gross +1.45% (net +1.05% info) p 0.0180 | discover +4.4% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:tight_range+ma_50_rising+resists_down_days: 2039 de-cl. (n 4633) hit 54.3% vs base 50.8% edge +3.6% gross +0.90% (net +0.50% info) p 0.0160 | discover +6.1% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:inverted_hammer_shape+ma_50_rising+rs_20_strong: 2293 de-cl. (n 2759) hit 55.0% vs base 51.5% edge +3.5% gross +1.15% (net +0.74% info) p 0.0210 | discover +3.5% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:inside_day_run+market_up+rs_60_strong: 1619 de-cl. (n 1800) hit 54.3% vs base 50.8% edge +3.5% gross +1.16% (net +0.76% info) p 0.0410 | discover +4.1% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+at_resistance+rs_20_strong: 1423 de-cl. (n 2590) hit 54.3% vs base 50.8% edge +3.5% gross +0.67% (net +0.27% info) p 0.1189 | discover +7.2% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:higher_lows+market_up+rs_120_strong: 742 de-cl. (n 914) hit 54.3% vs base 50.8% edge +3.5% gross +0.82% (net +0.42% info) p 0.2089 | discover +6.9% -> HELD | walk-forward 9/12 years positive
  [N=3024] k3:higher_lows+at_resistance+rs_60_strong: 553 de-cl. (n 678) hit 54.2% vs base 50.8% edge +3.5% gross +0.72% (net +0.32% info) p 0.1859 | discover +7.5% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:marubozu_red+market_up+rs_120_strong: 3132 de-cl. (n 3583) hit 54.3% vs base 50.8% edge +3.5% gross +0.75% (net +0.34% info) p 0.0940 | discover +3.8% -> HELD | walk-forward 9/12 years positive
  [N=3024] k5:higher_lows+rs_20_strong: 1146 de-cl. (n 1429) hit 54.7% vs base 51.3% edge +3.4% gross +0.89% (net +0.49% info) p 0.0930 | discover +6.2% -> HELD | walk-forward 11/12 years positive
